Start Time:  20-05-2024 15:12:02          Time Completed:  20-05-2024 15:29:43      Elapsed Time:  00:17:40
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_360.txt
Plot File:     C:\IDEASVSM\LS_QC\R_360.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_360.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.891421 	
 18000 	 0.8906 	
 17000 	 0.889455 	
 16000 	 0.88789 	
 15000 	 0.885937 	
 14000 	 0.883717 	
 13000 	 0.881243 	
 12000 	 0.878458 	
 11000 	 0.875265 	
 9999.97 	 0.871603 	
 9000.02 	 0.867278 	
 8000.04 	 0.86207 	
 7000.01 	 0.855836 	
 6000.02 	 0.848173 	
 5000 	 0.838518 	
 3999.99 	 0.822824 	
 3000.02 	 0.798837 	
 1999.99 	 0.756092 	
 1000 	 0.652478 	
 950.005 	 0.643347 	
 899.996 	 0.633553 	
 849.998 	 0.623007 	
 800.008 	 0.611622 	
 749.999 	 0.599283 	
 700 	 0.585725 	
 649.996 	 0.570926 	
 600.006 	 0.554696 	
 549.997 	 0.536827 	
 499.994 	 0.517139 	
 449.999 	 0.49521 	
 400.006 	 0.470468 	
 349.995 	 0.442075 	
 299.998 	 0.410071 	
 249.989 	 0.373032 	
 199.995 	 0.329383 	
 180 	 0.309606 	
 160.038 	 0.288207 	
 140.001 	 0.265032 	
 119.994 	 0.239624 	
 99.9902 	 0.211656 	
 79.9982 	 0.1806 	
 60.0014 	 0.145661 	
 39.9985 	 0.105697 	
 20.0024 	 0.0588766 	
 19.003 	 0.0562717 	
 18.0022 	 0.0536592 	
 16.9969 	 0.0510183 	
 15.9908 	 0.0483769 	
 14.9939 	 0.0456773 	
 13.9956 	 0.0429486 	
 13.0006 	 0.040232 	
 12.0008 	 0.0374564 	
 10.9965 	 0.0346341 	
 9.99648 	 0.0317719 	
 8.99482 	 0.0288768 	
 7.99831 	 0.0259418 	
 6.99808 	 0.0230428 	
 5.99722 	 0.0200615 	
 4.99663 	 0.016956 	
 4.0028 	 0.013869 	
 2.99432 	 0.0106828 	
 1.99526 	 0.00750138 	
 1.00217 	 0.00420115 	
-0.00396127 	 0.000785512 	
-0.9977 	-0.0026175 	
-2.00194 	-0.00601411 	
-2.99378 	-0.00921057 	
-4.00118 	-0.0123353 	
-5.00748 	-0.0154292 	
-6.00069 	-0.0184976 	
-6.98834 	-0.0214685 	
-7.99621 	-0.024424 	
-9.00669 	-0.0273462 	
-10.0006 	-0.0301996 	
-11.0007 	-0.0330175 	
-11.9982 	-0.0357917 	
-13.007 	-0.0385526 	
-13.9984 	-0.0413314 	
-14.9994 	-0.0439644 	
-16.0062 	-0.0466823 	
-17.0052 	-0.0493452 	
-18.0007 	-0.0519776 	
-18.993 	-0.0545567 	
-19.9933 	-0.057064 	

	
	
