Start Time:  17-05-2024 15:03:39          Time Completed:  17-05-2024 15:20:26      Elapsed Time:  00:16:46
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_150.txt
Plot File:     C:\IDEASVSM\LS_QC\R_150.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_150.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.896742 	
 18000 	 0.895935 	
 17000 	 0.894793 	
 16000 	 0.893262 	
 15000 	 0.891343 	
 14000 	 0.889172 	
 13000 	 0.886712 	
 12000 	 0.883936 	
 11000 	 0.880779 	
 10000 	 0.877143 	
 8999.99 	 0.872896 	
 8000 	 0.867747 	
 7000 	 0.861572 	
 6000 	 0.85396 	
 5000 	 0.844508 	
 3999.98 	 0.828992 	
 3000.03 	 0.805376 	
 1999.99 	 0.763368 	
 999.987 	 0.661253 	
 949.994 	 0.652208 	
 900 	 0.642499 	
 850.001 	 0.632041 	
 799.994 	 0.620729 	
 750.006 	 0.608452 	
 699.998 	 0.594972 	
 650 	 0.580214 	
 599.997 	 0.564009 	
 550.001 	 0.546144 	
 500.003 	 0.52641 	
 450.006 	 0.504389 	
 400.002 	 0.479496 	
 350.009 	 0.450916 	
 299.995 	 0.418531 	
 249.989 	 0.381009 	
 199.994 	 0.33669 	
 179.998 	 0.316558 	
 160 	 0.294784 	
 140.003 	 0.271104 	
 119.996 	 0.245197 	
 99.9953 	 0.216601 	
 80.0015 	 0.184835 	
 59.9926 	 0.149043 	
 39.9978 	 0.108086 	
 20.0021 	 0.0600432 	
 19.0009 	 0.0574148 	
 18.0037 	 0.0547817 	
 17.0086 	 0.0520777 	
 15.9992 	 0.0493336 	
 14.9935 	 0.0466013 	
 13.9956 	 0.0438205 	
 13.0011 	 0.0409907 	
 12.0026 	 0.0381573 	
 11.0035 	 0.0352964 	
 10.0037 	 0.0324145 	
 9.02505 	 0.0293705 	
 7.99507 	 0.0264584 	
 6.99701 	 0.0234779 	
 5.99427 	 0.0203753 	
 4.99551 	 0.01729 	
 4.0028 	 0.0141151 	
 2.99892 	 0.0109819 	
 1.99524 	 0.00769032 	
 1.00419 	 0.00433237 	
 0.000603609 	 0.000895592 	
-0.99983 	-0.00258078 	
-2.00208 	-0.00591329 	
-2.99399 	-0.00916199 	
-3.99654 	-0.0123712 	
-4.99632 	-0.015494 	
-6.00662 	-0.0185986 	
-7.00065 	-0.0216738 	
-8.00239 	-0.0246897 	
-8.9989 	-0.0276639 	
-10.0009 	-0.0306305 	
-11.0075 	-0.0335327 	
-11.9994 	-0.0363271 	
-12.9933 	-0.0391129 	
-14.0061 	-0.0419405 	
-15.005 	-0.044683 	
-16.0006 	-0.0474603 	
-16.9977 	-0.050176 	
-18.0067 	-0.0528553 	
-18.9998 	-0.0555014 	
-19.9948 	-0.0581515 	

	
	
