Start Time:  17-05-2024 10:18:29          Time Completed:  17-05-2024 10:35:47      Elapsed Time:  00:17:17
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_0.txt
Plot File:     C:\IDEASVSM\LS_QC\R_0.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_0.dat

***DATA***

Field(G)	 Moment(emu)	
 18998.2 	 0.891923 	
 18001.1 	 0.891097 	
 16999.8 	 0.889947 	
 16000.5 	 0.888394 	
 15000 	 0.886408 	
 14000 	 0.884181 	
 13000 	 0.8817 	
 12000 	 0.878946 	
 11000 	 0.87578 	
 9999.91 	 0.872072 	
 8999.98 	 0.867743 	
 8000 	 0.862514 	
 7000 	 0.856238 	
 6000.01 	 0.848553 	
 5000.01 	 0.838908 	
 3999.98 	 0.823174 	
 3000.25 	 0.799188 	
 1999.99 	 0.756395 	
 999.99 	 0.652694 	
 950.003 	 0.64353 	
 899.997 	 0.633708 	
 849.996 	 0.62314 	
 799.996 	 0.611733 	
 749.998 	 0.599384 	
 699.995 	 0.585811 	
 649.993 	 0.57098 	
 599.998 	 0.554719 	
 549.999 	 0.536829 	
 499.991 	 0.517122 	
 449.991 	 0.495167 	
 400.004 	 0.470388 	
 350.022 	 0.442113 	
 300.01 	 0.410098 	
 249.997 	 0.372993 	
 199.989 	 0.329356 	
 179.996 	 0.309563 	
 159.995 	 0.288171 	
 139.998 	 0.264923 	
 120 	 0.23952 	
 99.9982 	 0.211538 	
 79.9971 	 0.180443 	
 59.9913 	 0.145512 	
 39.9928 	 0.105546 	
 19.9982 	 0.0587321 	
 19.0053 	 0.0561315 	
 18.0054 	 0.053569 	
 16.9957 	 0.0509244 	
 16.0027 	 0.0482565 	
 15.001 	 0.045534 	
 14.0004 	 0.0428333 	
 13.0006 	 0.0400694 	
 11.9989 	 0.0372833 	
 10.9954 	 0.0344738 	
 10.0061 	 0.0317021 	
 9.01 	 0.0288213 	
 7.99667 	 0.025849 	
 7.00254 	 0.0228568 	
 6.00238 	 0.0199148 	
 4.99666 	 0.0168754 	
 4.00608 	 0.0137578 	
 3.00104 	 0.0106405 	
 1.99709 	 0.00742372 	
 0.994925 	 0.00417337 	
-0.00836474 	 0.00083242 	
-1.00524 	-0.00256744 	
-2.00311 	-0.00586183 	
-3.00179 	-0.00906557 	
-4.00273 	-0.0122069 	
-4.99769 	-0.01529 	
-6.00118 	-0.018277 	
-7.0017 	-0.0213144 	
-7.99906 	-0.0242536 	
-8.99957 	-0.0271548 	
-10.0045 	-0.029995 	
-10.9934 	-0.0327942 	
-11.9997 	-0.0355665 	
-13.0062 	-0.0384008 	
-14.0019 	-0.0410847 	
-14.9964 	-0.0437703 	
-16.0015 	-0.0464808 	
-16.9985 	-0.0491069 	
-17.992 	-0.0517362 	
-18.9978 	-0.0543695 	
-20.0023 	-0.0569023 	

	
	
