Start Time:  17-05-2024 15:45:39          Time Completed:  17-05-2024 16:03:02      Elapsed Time:  00:17:22
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_180.txt
Plot File:     C:\IDEASVSM\LS_QC\R_180.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_180.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.895476 	
 18000 	 0.894689 	
 17000 	 0.893579 	
 16000 	 0.892041 	
 15000 	 0.890122 	
 14000 	 0.887955 	
 13000 	 0.88553 	
 12000 	 0.882793 	
 11000 	 0.879661 	
 10000 	 0.876016 	
 8999.99 	 0.871747 	
 8000 	 0.866578 	
 6999.99 	 0.860373 	
 6000 	 0.852754 	
 5000.01 	 0.843154 	
 3999.98 	 0.82754 	
 2999.96 	 0.803656 	
 2000 	 0.761071 	
 999.994 	 0.657498 	
 950.006 	 0.648332 	
 900.009 	 0.638513 	
 850.003 	 0.627927 	
 799.993 	 0.616511 	
 749.998 	 0.604136 	
 699.998 	 0.590546 	
 649.997 	 0.575689 	
 600.005 	 0.559383 	
 549.992 	 0.541435 	
 500.003 	 0.521663 	
 449.997 	 0.499608 	
 399.997 	 0.474725 	
 349.994 	 0.446195 	
 300.003 	 0.413989 	
 249.992 	 0.376684 	
 200 	 0.332688 	
 179.994 	 0.312748 	
 159.991 	 0.291185 	
 139.997 	 0.267743 	
 119.993 	 0.242116 	
 99.9984 	 0.213891 	
 80.0046 	 0.182543 	
 59.997 	 0.147249 	
 40.0028 	 0.106855 	
 19.9907 	 0.0595247 	
 18.9982 	 0.056866 	
 17.9941 	 0.054273 	
 16.9893 	 0.0515881 	
 16.0003 	 0.048937 	
 14.9907 	 0.0462006 	
 14.0064 	 0.0434622 	
 12.9987 	 0.0407172 	
 12.0053 	 0.0379564 	
 10.9945 	 0.0351007 	
 9.99507 	 0.0322401 	
 8.99658 	 0.0293023 	
 7.9987 	 0.0263452 	
 6.99838 	 0.0233929 	
 5.99529 	 0.0203773 	
 4.98969 	 0.0173061 	
 4.00078 	 0.0141593 	
 2.9995 	 0.0110472 	
 1.988 	 0.00775833 	
 1.00114 	 0.00442989 	
 0.00166845 	 0.00104381 	
-1.00196 	-0.00237977 	
-2.00282 	-0.00577382 	
-3.00185 	-0.0089946 	
-3.99753 	-0.0122062 	
-4.99788 	-0.0153126 	
-6.00709 	-0.018471 	
-7.00094 	-0.0214411 	
-7.99863 	-0.0244484 	
-9.00252 	-0.0273959 	
-10.0111 	-0.0303496 	
-10.9936 	-0.0331489 	
-11.9971 	-0.0359838 	
-12.9984 	-0.0387382 	
-14.0036 	-0.0415189 	
-15.0032 	-0.0442316 	
-15.9971 	-0.0469733 	
-16.9986 	-0.0496954 	
-17.9967 	-0.0523252 	
-19.0016 	-0.0549349 	
-20.0001 	-0.0575395 	

	
	
