Start Time:  17-05-2024 16:36:22          Time Completed:  17-05-2024 16:54:11      Elapsed Time:  00:17:48
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_210.txt
Plot File:     C:\IDEASVSM\LS_QC\R_210.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_210.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.906722 	
 18000 	 0.905907 	
 17000 	 0.904738 	
 16000 	 0.90315 	
 15000 	 0.90115 	
 14000 	 0.898894 	
 13000 	 0.896387 	
 12000 	 0.893592 	
 11000 	 0.890395 	
 10000 	 0.886697 	
 8999.99 	 0.882374 	
 7999.99 	 0.877126 	
 7000 	 0.87081 	
 5999.98 	 0.863099 	
 5000 	 0.853312 	
 3999.99 	 0.837359 	
 3000.03 	 0.812874 	
 2000 	 0.768922 	
 999.993 	 0.661265 	
 949.99 	 0.651758 	
 900 	 0.641562 	
 849.997 	 0.630575 	
 800.003 	 0.618733 	
 750.001 	 0.605903 	
 699.998 	 0.591832 	
 649.998 	 0.576466 	
 599.992 	 0.559632 	
 549.991 	 0.541124 	
 499.995 	 0.520767 	
 450.006 	 0.498135 	
 399.98 	 0.472652 	
 350.003 	 0.443511 	
 299.997 	 0.410717 	
 249.99 	 0.372887 	
 199.994 	 0.328506 	
 179.996 	 0.308444 	
 159.995 	 0.286824 	
 139.999 	 0.263363 	
 119.998 	 0.237762 	
 100.006 	 0.209675 	
 80.0004 	 0.178575 	
 59.9981 	 0.143738 	
 39.9985 	 0.104008 	
 19.9879 	 0.0577282 	
 18.9982 	 0.0551715 	
 18.0037 	 0.0525926 	
 17.0007 	 0.0499973 	
 15.9948 	 0.0474138 	
 14.9988 	 0.0447313 	
 14.0008 	 0.0420478 	
 12.998 	 0.0393497 	
 11.9962 	 0.0365879 	
 10.9988 	 0.0338806 	
 10.0044 	 0.0310812 	
 8.99434 	 0.0282697 	
 7.99694 	 0.0253968 	
 7.00197 	 0.0225467 	
 5.9998 	 0.0195524 	
 4.99733 	 0.0166306 	
 3.99997 	 0.0136248 	
 2.9948 	 0.0105219 	
 1.99207 	 0.00741027 	
 0.991694 	 0.00421389 	
-0.00430746 	 0.00096766 	
-1.001 	-0.00236054 	
-1.99552 	-0.00562645 	
-2.99645 	-0.00870551 	
-4.00435 	-0.0118029 	
-4.99897 	-0.0148323 	
-6.00352 	-0.017823 	
-6.99974 	-0.0207559 	
-8.01036 	-0.0236071 	
-9.00704 	-0.0264777 	
-10.0013 	-0.0293167 	
-10.9994 	-0.0321073 	
-11.9906 	-0.0348643 	
-13.0133 	-0.0375658 	
-14.0055 	-0.0402305 	
-14.9998 	-0.0428845 	
-16.0019 	-0.0455379 	
-16.9974 	-0.0481024 	
-18.007 	-0.0507099 	
-19.0003 	-0.0532435 	
-20.0027 	-0.0557973 	

	
	
