Start Time:  20-05-2024 14:50:24          Time Completed:  20-05-2024 15:07:23      Elapsed Time:  00:16:58
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_345.txt
Plot File:     C:\IDEASVSM\LS_QC\R_345.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_345.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.888179 	
 18000 	 0.887384 	
 17000 	 0.886246 	
 16000 	 0.884725 	
 15000 	 0.882836 	
 14000 	 0.880673 	
 13000 	 0.878249 	
 12000 	 0.875527 	
 11000 	 0.872398 	
 10000 	 0.868782 	
 8999.98 	 0.864531 	
 8000.05 	 0.859395 	
 6999.9 	 0.853177 	
 6000 	 0.845567 	
 5000.03 	 0.836011 	
 4000 	 0.820497 	
 3000.14 	 0.7968 	
 1999.99 	 0.754668 	
 999.998 	 0.652651 	
 950 	 0.643634 	
 900.003 	 0.633958 	
 849.998 	 0.623541 	
 799.994 	 0.612284 	
 749.993 	 0.600081 	
 699.995 	 0.586679 	
 650 	 0.572028 	
 599.988 	 0.555948 	
 550.003 	 0.53823 	
 499.998 	 0.5187 	
 449.994 	 0.496905 	
 399.987 	 0.472285 	
 350 	 0.444044 	
 300.003 	 0.412124 	
 249.996 	 0.375117 	
 200.004 	 0.331448 	
 179.99 	 0.31163 	
 159.994 	 0.290181 	
 139.997 	 0.266858 	
 119.999 	 0.241366 	
 99.9842 	 0.213263 	
 79.9977 	 0.181987 	
 59.9903 	 0.146814 	
 39.9944 	 0.106527 	
 19.9993 	 0.0592288 	
 19.0012 	 0.056638 	
 17.9993 	 0.0539914 	
 16.9983 	 0.0513706 	
 16.0011 	 0.0486455 	
 14.9956 	 0.0459835 	
 13.9944 	 0.0432439 	
 12.988 	 0.0404442 	
 11.9992 	 0.0376102 	
 10.9983 	 0.0348255 	
 9.99992 	 0.031926 	
 9.0025 	 0.0290126 	
 8.00071 	 0.0260588 	
 6.99926 	 0.0230883 	
 6.00161 	 0.0200715 	
 4.99172 	 0.0170435 	
 4.00361 	 0.013911 	
 3.00057 	 0.0107388 	
 1.99809 	 0.00746791 	
 0.997432 	 0.00409338 	
-0.00719534 	 0.000711612 	
-1.00278 	-0.00272627 	
-2.00021 	-0.00611091 	
-2.99777 	-0.0093266 	
-3.9967 	-0.0125023 	
-4.9956 	-0.0155669 	
-6.00209 	-0.0186688 	
-7.00826 	-0.0217537 	
-8.00198 	-0.0246892 	
-8.9916 	-0.0275828 	
-10.0034 	-0.0304308 	
-11.0015 	-0.0333003 	
-12.0043 	-0.0361177 	
-13.0019 	-0.0388959 	
-14.0022 	-0.0416881 	
-14.9989 	-0.0444007 	
-15.9936 	-0.0470778 	
-16.9946 	-0.049727 	
-18.0027 	-0.0524163 	
-18.9953 	-0.0549775 	
-20.0025 	-0.0575845 	

	
	
