Start Time:  17-05-2024 15:25:09          Time Completed:  17-05-2024 15:43:09      Elapsed Time:  00:17:59
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_165.txt
Plot File:     C:\IDEASVSM\LS_QC\R_165.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_165.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.892729 	
 18000 	 0.891967 	
 17000 	 0.890807 	
 16000 	 0.889288 	
 15000 	 0.887405 	
 14000 	 0.885214 	
 13000 	 0.882817 	
 12000 	 0.880113 	
 11000 	 0.877041 	
 9999.53 	 0.873491 	
 8999.92 	 0.869278 	
 8000.11 	 0.864168 	
 7000.18 	 0.858022 	
 6000.02 	 0.850341 	
 5000.01 	 0.840882 	
 3999.96 	 0.825426 	
 3000.12 	 0.801863 	
 2000 	 0.759874 	
 999.984 	 0.657951 	
 950.005 	 0.64895 	
 899.99 	 0.639263 	
 850 	 0.628837 	
 800.001 	 0.617559 	
 749.995 	 0.605353 	
 699.994 	 0.591887 	
 649.996 	 0.577197 	
 600.006 	 0.561033 	
 549.981 	 0.543197 	
 499.994 	 0.523555 	
 450.002 	 0.50165 	
 399.986 	 0.476865 	
 350 	 0.448418 	
 300.002 	 0.416259 	
 249.995 	 0.378977 	
 200.001 	 0.334955 	
 179.994 	 0.314962 	
 160.003 	 0.293282 	
 139.993 	 0.269771 	
 119.998 	 0.244047 	
 99.9964 	 0.215681 	
 80.0018 	 0.184133 	
 59.9989 	 0.148584 	
 39.9998 	 0.107896 	
 20.0018 	 0.0601474 	
 18.999 	 0.0574857 	
 18.0089 	 0.0547996 	
 16.9964 	 0.052144 	
 15.9944 	 0.0494429 	
 14.9899 	 0.0467298 	
 13.9997 	 0.0439324 	
 13.0042 	 0.0411524 	
 11.9991 	 0.0383033 	
 10.9994 	 0.0354294 	
 10.0046 	 0.0325099 	
 8.99276 	 0.0295879 	
 8.00046 	 0.0265601 	
 6.99788 	 0.0235765 	
 5.99365 	 0.0204554 	
 5.00553 	 0.0173861 	
 3.99616 	 0.0142142 	
 3.00023 	 0.0110242 	
 1.99836 	 0.00780558 	
 1.00193 	 0.00443999 	
 0.00291743 	 0.000994402 	
-0.997178 	-0.00249833 	
-1.99508 	-0.0059066 	
-2.99143 	-0.00920837 	
-4.00069 	-0.0124566 	
-5.00658 	-0.0155588 	
-5.99999 	-0.0186771 	
-7.00944 	-0.0217268 	
-8.00377 	-0.0247127 	
-8.97746 	-0.0278135 	
-10.0021 	-0.0306261 	
-11.0053 	-0.0335187 	
-12.0044 	-0.0363899 	
-13.0048 	-0.0391766 	
-14.0019 	-0.0419871 	
-15.0014 	-0.0448084 	
-16.0064 	-0.0475074 	
-17.0045 	-0.0502401 	
-18.0052 	-0.0529221 	
-18.9952 	-0.0554993 	
-20.0047 	-0.0580996 	

	
	
