Start Time:  17-05-2024 11:15:49          Time Completed:  17-05-2024 11:34:18      Elapsed Time:  00:18:28
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_15b.txt
Plot File:     C:\IDEASVSM\LS_QC\R_15b.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_15b.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.899984 	
 18000 	 0.899214 	
 17000 	 0.898108 	
 16000 	 0.896632 	
 15000 	 0.894558 	
 14000 	 0.892308 	
 13000 	 0.889841 	
 12000 	 0.88706 	
 11000 	 0.883928 	
 10000 	 0.880219 	
 9000 	 0.87595 	
 8000.01 	 0.870627 	
 7000 	 0.864306 	
 6000.01 	 0.856515 	
 4999.98 	 0.846653 	
 4000.01 	 0.830665 	
 3000.02 	 0.80623 	
 2000 	 0.762495 	
 999.991 	 0.655901 	
 949.998 	 0.646588 	
 899.993 	 0.636513 	
 849.998 	 0.625725 	
 800 	 0.614087 	
 749.996 	 0.601475 	
 700.002 	 0.587599 	
 649.999 	 0.572465 	
 600.002 	 0.555889 	
 549.998 	 0.537667 	
 500.001 	 0.517617 	
 449.999 	 0.495322 	
 400.002 	 0.470244 	
 349.997 	 0.441568 	
 300.006 	 0.409124 	
 249.993 	 0.371737 	
 199.998 	 0.327808 	
 179.994 	 0.307906 	
 159.993 	 0.286437 	
 139.994 	 0.263164 	
 119.992 	 0.237748 	
 99.9983 	 0.209791 	
 79.9938 	 0.178791 	
 60.0067 	 0.144036 	
 39.999 	 0.104356 	
 20.0058 	 0.057985 	
 18.9978 	 0.0553805 	
 18.0009 	 0.0528027 	
 16.9953 	 0.0502177 	
 15.994 	 0.0475923 	
 15.0033 	 0.0449459 	
 14.001 	 0.042305 	
 12.9971 	 0.0395531 	
 12.004 	 0.0368081 	
 11.001 	 0.0340709 	
 9.99297 	 0.0312299 	
 9.00459 	 0.0283928 	
 7.99533 	 0.02554 	
 6.99779 	 0.0226355 	
 5.99713 	 0.019641 	
 5.00064 	 0.0166355 	
 4.00861 	 0.0136276 	
 2.9913 	 0.0105144 	
 1.99559 	 0.00736357 	
 0.997925 	 0.00416125 	
-0.00302345 	 0.000887483 	
-1.00226 	-0.00246242 	
-1.99932 	-0.0056912 	
-3.01899 	-0.00886978 	
-4.00176 	-0.0119443 	
-5.00258 	-0.0150514 	
-6.00411 	-0.0180147 	
-7.00386 	-0.0209564 	
-7.99882 	-0.0238155 	
-9.00656 	-0.0267193 	
-9.99452 	-0.0295463 	
-10.998 	-0.0323449 	
-12.0017 	-0.0351163 	
-13.0007 	-0.0378378 	
-13.998 	-0.0405427 	
-14.9987 	-0.0431987 	
-16.0002 	-0.0458426 	
-16.989 	-0.048454 	
-17.9997 	-0.0510642 	
-18.9961 	-0.0535701 	
-20.0052 	-0.0561177 	

	
	
