Start Time:  17-05-2024 11:42:59          Time Completed:  17-05-2024 12:00:31      Elapsed Time:  00:17:31
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_30a.txt
Plot File:     C:\IDEASVSM\LS_QC\R_30a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_30a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.907872 	
 18000 	 0.907039 	
 17000 	 0.905857 	
 16000 	 0.904309 	
 15000 	 0.902341 	
 14000 	 0.900123 	
 13000 	 0.897618 	
 12000 	 0.894801 	
 11000 	 0.891537 	
 10000 	 0.887806 	
 9000.01 	 0.883395 	
 8000 	 0.878057 	
 7000.01 	 0.871707 	
 6000.01 	 0.863863 	
 5000 	 0.853908 	
 3999.99 	 0.837736 	
 3000.02 	 0.812933 	
 2000 	 0.768476 	
 999.999 	 0.659946 	
 949.987 	 0.65036 	
 900.001 	 0.640109 	
 850.011 	 0.629066 	
 800.002 	 0.617148 	
 750.006 	 0.604257 	
 699.991 	 0.590136 	
 649.997 	 0.574739 	
 599.997 	 0.557844 	
 549.995 	 0.539314 	
 499.98 	 0.518934 	
 449.979 	 0.496279 	
 400 	 0.470778 	
 350.003 	 0.441701 	
 300 	 0.408958 	
 250 	 0.371167 	
 199.989 	 0.326894 	
 179.998 	 0.306876 	
 159.998 	 0.285324 	
 140.009 	 0.26194 	
 119.998 	 0.236448 	
 100.006 	 0.208478 	
 80.0009 	 0.177481 	
 59.9937 	 0.142816 	
 39.9977 	 0.103342 	
 19.998 	 0.0572765 	
 19.0042 	 0.0547839 	
 18 	 0.0522171 	
 16.9992 	 0.0496534 	
 15.9978 	 0.0470545 	
 14.9984 	 0.0444372 	
 13.9951 	 0.041748 	
 13.0028 	 0.0390792 	
 12.0011 	 0.0363988 	
 11.0007 	 0.0336172 	
 9.99943 	 0.0308405 	
 9.0036 	 0.0280117 	
 8.0016 	 0.0252004 	
 7.00077 	 0.0223455 	
 6.00498 	 0.0194297 	
 4.99609 	 0.016464 	
 3.99753 	 0.0134609 	
 2.99821 	 0.0104164 	
 2.00469 	 0.00729457 	
 1.00454 	 0.00410893 	
-0.00396781 	 0.000911119 	
-0.996221 	-0.00238133 	
-2.01151 	-0.00556565 	
-2.99686 	-0.00866721 	
-4 	-0.0117904 	
-5.01449 	-0.0147674 	
-5.99902 	-0.0176438 	
-7.00162 	-0.0205638 	
-8.00165 	-0.0234189 	
-8.99484 	-0.0262976 	
-10.0003 	-0.0290309 	
-10.9954 	-0.0318111 	
-11.9988 	-0.0344817 	
-13.0035 	-0.0371836 	
-14.0034 	-0.0398758 	
-14.9961 	-0.0425208 	
-16.003 	-0.0451836 	
-16.9931 	-0.0477486 	
-18.0022 	-0.0502923 	
-19.0033 	-0.052796 	
-19.994 	-0.0553291 	

	
	
