Start Time:  17-05-2024 13:30:31          Time Completed:  17-05-2024 13:49:21      Elapsed Time:  00:18:49
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_90.txt
Plot File:     C:\IDEASVSM\LS_QC\R_90.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_90.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.91747 	
 18000 	 0.916613 	
 17000 	 0.91548 	
 16000 	 0.913829 	
 15000 	 0.91179 	
 14000 	 0.909501 	
 13000 	 0.906969 	
 12000 	 0.904118 	
 11000 	 0.900835 	
 9999.98 	 0.89704 	
 8999.99 	 0.892602 	
 8000 	 0.887216 	
 7000 	 0.880756 	
 6000 	 0.872812 	
 4999.99 	 0.862777 	
 3999.99 	 0.84644 	
 3000.04 	 0.821353 	
 2000 	 0.776183 	
 999.988 	 0.665159 	
 949.991 	 0.655353 	
 900.005 	 0.644838 	
 850 	 0.633527 	
 800 	 0.621317 	
 750.006 	 0.6081 	
 700.002 	 0.593596 	
 649.996 	 0.577775 	
 599.995 	 0.560467 	
 549.997 	 0.541449 	
 499.996 	 0.520577 	
 450.001 	 0.497376 	
 400.002 	 0.471301 	
 350.007 	 0.441574 	
 300.002 	 0.408163 	
 250.001 	 0.369714 	
 199.993 	 0.324755 	
 180.004 	 0.304498 	
 160.004 	 0.282702 	
 140.001 	 0.259098 	
 119.999 	 0.233437 	
 99.9965 	 0.205295 	
 79.9903 	 0.174265 	
 59.9973 	 0.139668 	
 39.9968 	 0.100467 	
 20.0048 	 0.0551323 	
 18.9976 	 0.0526477 	
 18.0061 	 0.0501213 	
 16.9994 	 0.0476309 	
 16.0028 	 0.0450829 	
 14.9949 	 0.0425666 	
 13.9968 	 0.039912 	
 12.9956 	 0.0373281 	
 11.9932 	 0.0346571 	
 10.9855 	 0.0320029 	
 10.0019 	 0.0293503 	
 9.00289 	 0.0265704 	
 8.00033 	 0.0238816 	
 6.98883 	 0.02113 	
 5.99889 	 0.0183072 	
 5.00037 	 0.0155067 	
 3.99564 	 0.0126499 	
 3.00493 	 0.00972653 	
 2.00323 	 0.00677983 	
 0.995946 	 0.0038466 	
-0.00816294 	 0.000748332 	
-1.00244 	-0.00224694 	
-2.0125 	-0.00525576 	
-3.0015 	-0.00818925 	
-4.00417 	-0.0111182 	
-5.00566 	-0.0139726 	
-6.00819 	-0.016796 	
-6.99602 	-0.0195952 	
-7.9995 	-0.0223326 	
-9.00012 	-0.0251111 	
-10.0063 	-0.0277904 	
-11.0061 	-0.0304895 	
-12.0034 	-0.0331145 	
-12.9976 	-0.0357424 	
-14.0001 	-0.0383102 	
-14.9946 	-0.0408866 	
-16.0092 	-0.043449 	
-16.9946 	-0.0459498 	
-17.9991 	-0.0484575 	
-19.0004 	-0.0509115 	
-20.001 	-0.0534042 	

	
	
