Start Time:  20-05-2024 12:09:05          Time Completed:  20-05-2024 12:27:06      Elapsed Time:  00:18:00
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_240.txt
Plot File:     C:\IDEASVSM\LS_QC\R_240.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_240.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.914861 	
 18000 	 0.91399 	
 17000 	 0.912798 	
 16000 	 0.911209 	
 15000 	 0.909209 	
 14000 	 0.906957 	
 13000 	 0.904452 	
 12000 	 0.90163 	
 11000 	 0.898374 	
 10000 	 0.894648 	
 8999.98 	 0.890253 	
 7999.99 	 0.884956 	
 6999.96 	 0.878611 	
 5999.99 	 0.870801 	
 4999.99 	 0.860935 	
 4000 	 0.844815 	
 3000.01 	 0.820108 	
 1999.99 	 0.775543 	
 1000 	 0.665608 	
 949.992 	 0.655861 	
 899.989 	 0.645406 	
 849.994 	 0.634157 	
 799.999 	 0.622016 	
 750.001 	 0.608863 	
 699.992 	 0.594445 	
 650 	 0.578712 	
 600.001 	 0.561452 	
 550 	 0.542539 	
 499.991 	 0.521749 	
 449.999 	 0.498664 	
 399.991 	 0.472703 	
 349.996 	 0.443197 	
 299.993 	 0.409887 	
 250.008 	 0.371588 	
 200 	 0.326767 	
 180.001 	 0.306553 	
 159.999 	 0.284803 	
 139.999 	 0.261207 	
 119.993 	 0.235568 	
 100.002 	 0.207476 	
 79.9972 	 0.176432 	
 60.0001 	 0.141734 	
 39.9968 	 0.102315 	
 19.9952 	 0.0564949 	
 19.0082 	 0.0540198 	
 17.9892 	 0.0515269 	
 16.9908 	 0.0489666 	
 15.9996 	 0.0463708 	
 14.9991 	 0.0437498 	
 14.0008 	 0.0411378 	
 12.9972 	 0.0384423 	
 11.9982 	 0.0357875 	
 10.9982 	 0.0330444 	
 9.99853 	 0.0303091 	
 8.99605 	 0.0275343 	
 7.99613 	 0.0247011 	
 6.99466 	 0.0218616 	
 5.99709 	 0.0189459 	
 5.00421 	 0.0160324 	
 3.99914 	 0.0131331 	
 3.00485 	 0.0101008 	
 1.995 	 0.00702253 	
 0.996162 	 0.00393726 	
-0.00468426 	 0.000729758 	
-1.00684 	-0.00252177 	
-2.0032 	-0.00564026 	
-2.99807 	-0.0087289 	
-4.001 	-0.0117591 	
-4.99814 	-0.014722 	
-6.00291 	-0.0176213 	
-6.99698 	-0.0204728 	
-8.00187 	-0.0233569 	
-8.99878 	-0.026106 	
-9.99855 	-0.0288468 	
-10.9986 	-0.0315921 	
-11.998 	-0.034274 	
-13.0002 	-0.0369037 	
-13.9941 	-0.039606 	
-14.9984 	-0.0421814 	
-15.9996 	-0.0447496 	
-17.0002 	-0.0473324 	
-18.0037 	-0.0498732 	
-18.9988 	-0.0523822 	
-20.0075 	-0.0548522 	

	
	
