Start Time:  17-05-2024 12:42:33          Time Completed:  17-05-2024 13:00:06      Elapsed Time:  00:17:32
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_60.txt
Plot File:     C:\IDEASVSM\LS_QC\R_60.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_60.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.92892 	
 18000 	 0.927988 	
 17000 	 0.926741 	
 16000 	 0.924637 	
 15000 	 0.922522 	
 14000 	 0.919773 	
 13000 	 0.91681 	
 12000 	 0.912502 	
 11000 	 0.907095 	
 10000 	 0.902162 	
 9000 	 0.896686 	
 7999.99 	 0.890033 	
 6999.99 	 0.88364 	
 6000 	 0.878193 	
 4999.99 	 0.867207 	
 4000.01 	 0.850823 	
 3000.01 	 0.825135 	
 1999.99 	 0.779432 	
 999.995 	 0.667492 	
 949.995 	 0.657835 	
 900.005 	 0.647614 	
 849.995 	 0.636606 	
 800 	 0.624602 	
 749.991 	 0.611392 	
 699.991 	 0.596975 	
 649.996 	 0.581326 	
 599.984 	 0.564059 	
 549.994 	 0.545182 	
 500.003 	 0.524119 	
 450.002 	 0.50115 	
 400 	 0.47514 	
 349.992 	 0.445366 	
 299.996 	 0.411837 	
 249.986 	 0.373226 	
 199.993 	 0.328124 	
 179.999 	 0.307764 	
 159.989 	 0.285829 	
 140.002 	 0.262084 	
 119.994 	 0.236346 	
 99.9933 	 0.208122 	
 80.0018 	 0.176873 	
 59.9969 	 0.142005 	
 40.0066 	 0.102335 	
 19.993 	 0.0563746 	
 18.9976 	 0.0538692 	
 17.9948 	 0.0513664 	
 17.0039 	 0.0487722 	
 15.9992 	 0.0462263 	
 14.9984 	 0.0436203 	
 13.9988 	 0.0409672 	
 12.9963 	 0.0383178 	
 12.001 	 0.0356371 	
 11.0006 	 0.0329447 	
 9.99901 	 0.0302352 	
 8.9953 	 0.0274104 	
 8.00507 	 0.024621 	
 6.99712 	 0.02178 	
 5.99567 	 0.0189146 	
 4.99958 	 0.0160207 	
 4.00276 	 0.0131171 	
 3.0007 	 0.0100913 	
 2.00232 	 0.00716946 	
 0.9961 	 0.00404437 	
 0.00181442 	 0.000893251 	
-0.997237 	-0.00224432 	
-1.99816 	-0.00536908 	
-3.00113 	-0.00832103 	
-3.99885 	-0.0113122 	
-5.00419 	-0.0142785 	
-6.00213 	-0.0171274 	
-7.00262 	-0.0199699 	
-8.00309 	-0.0227515 	
-9.00482 	-0.0255265 	
-10.0021 	-0.0282234 	
-10.9988 	-0.030901 	
-11.9946 	-0.0335971 	
-12.9885 	-0.036231 	
-14.0015 	-0.0388413 	
-15.0051 	-0.041414 	
-16.0071 	-0.0439875 	
-16.998 	-0.0465053 	
-18.0027 	-0.0490298 	
-19.0069 	-0.0515218 	
-20.0032 	-0.0539773 	

	
	
