Start Time:  20-05-2024 14:30:24          Time Completed:  20-05-2024 14:48:00      Elapsed Time:  00:17:35
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_330.txt
Plot File:     C:\IDEASVSM\LS_QC\R_330.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_330.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.889285 	
 18000 	 0.888493 	
 17000 	 0.887277 	
 16000 	 0.885762 	
 15000 	 0.883814 	
 14000 	 0.881618 	
 13000 	 0.879191 	
 12000 	 0.876431 	
 10999.9 	 0.873297 	
 9999.98 	 0.869665 	
 9000 	 0.865408 	
 7999.95 	 0.860263 	
 6999.99 	 0.854126 	
 6000 	 0.846582 	
 5000.01 	 0.837078 	
 4000 	 0.821611 	
 2999.92 	 0.798014 	
 1999.98 	 0.756073 	
 999.995 	 0.654384 	
 949.997 	 0.645406 	
 899.996 	 0.635775 	
 849.999 	 0.625392 	
 799.991 	 0.614167 	
 750.005 	 0.601992 	
 700.001 	 0.588591 	
 649.996 	 0.573938 	
 600.005 	 0.557865 	
 550.001 	 0.540142 	
 499.996 	 0.520571 	
 450.002 	 0.498688 	
 400.003 	 0.474017 	
 350.004 	 0.445673 	
 300.007 	 0.41362 	
 250.003 	 0.376446 	
 200.002 	 0.33256 	
 179.996 	 0.312638 	
 160.006 	 0.291099 	
 139.996 	 0.267658 	
 119.997 	 0.241999 	
 99.9901 	 0.21375 	
 80.0003 	 0.182348 	
 59.992 	 0.147026 	
 39.9925 	 0.106603 	
 19.9996 	 0.0591722 	
 19 	 0.0565936 	
 17.9969 	 0.0539448 	
 17.0028 	 0.0513045 	
 15.9995 	 0.0486131 	
 14.9972 	 0.0459166 	
 14.0008 	 0.0431597 	
 13.0032 	 0.040396 	
 11.9945 	 0.0375894 	
 11.0008 	 0.0347283 	
 9.99869 	 0.0318541 	
 8.99896 	 0.0289697 	
 8.00411 	 0.0260301 	
 6.98965 	 0.0230843 	
 6.00604 	 0.0200145 	
 5.00629 	 0.0169238 	
 3.99658 	 0.0138204 	
 2.99564 	 0.0106528 	
 1.99879 	 0.00746467 	
 1.00357 	 0.00409948 	
 0.000297681 	 0.000768055 	
-1.00217 	-0.00273908 	
-1.9984 	-0.00606345 	
-2.99882 	-0.00930278 	
-4.00365 	-0.0124507 	
-4.99541 	-0.0155601 	
-5.99469 	-0.0186829 	
-6.99355 	-0.0216206 	
-7.99811 	-0.024674 	
-8.99949 	-0.0275728 	
-10.0022 	-0.0304502 	
-11.0063 	-0.0332731 	
-12.002 	-0.0362335 	
-13.0025 	-0.0391114 	
-13.9979 	-0.0418682 	
-15.002 	-0.0446086 	
-16.0038 	-0.0471646 	
-16.9962 	-0.0498455 	
-18.007 	-0.0524533 	
-19.0008 	-0.0550884 	
-20.0051 	-0.0581215 	

	
	
