Start Time:  17-05-2024 13:07:40          Time Completed:  17-05-2024 13:25:12      Elapsed Time:  00:17:31
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_75.txt
Plot File:     C:\IDEASVSM\LS_QC\R_75.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_75.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.918965 	
 18000 	 0.918091 	
 17000 	 0.916869 	
 16000 	 0.915251 	
 15000 	 0.913241 	
 14000 	 0.910944 	
 13000 	 0.9084 	
 12000 	 0.905543 	
 11000 	 0.902269 	
 9999.98 	 0.898543 	
 9000 	 0.894073 	
 8000 	 0.888703 	
 6999.99 	 0.882252 	
 6000 	 0.874335 	
 4999.98 	 0.864293 	
 4000 	 0.847981 	
 2999.97 	 0.822848 	
 2000 	 0.777593 	
 999.988 	 0.66624 	
 950.001 	 0.656389 	
 900.008 	 0.645836 	
 849.999 	 0.634484 	
 799.995 	 0.622223 	
 750.003 	 0.608959 	
 699.998 	 0.594418 	
 649.987 	 0.578553 	
 599.999 	 0.561172 	
 550 	 0.542091 	
 499.999 	 0.521125 	
 450.008 	 0.497833 	
 400.002 	 0.471666 	
 350.011 	 0.441832 	
 299.992 	 0.408331 	
 250.004 	 0.369819 	
 199.995 	 0.324767 	
 180 	 0.304481 	
 159.997 	 0.282646 	
 139.996 	 0.259015 	
 120.003 	 0.233345 	
 99.9983 	 0.205198 	
 79.9954 	 0.174184 	
 60.0011 	 0.139605 	
 40.0003 	 0.100467 	
 20.0015 	 0.0552524 	
 18.999 	 0.052754 	
 17.9984 	 0.0502535 	
 16.9944 	 0.0477178 	
 15.9903 	 0.0451933 	
 15.0018 	 0.0426192 	
 14.0025 	 0.0400016 	
 13.0053 	 0.0374284 	
 12.0005 	 0.034776 	
 10.9921 	 0.0320856 	
 9.99689 	 0.0294682 	
 8.99957 	 0.0267553 	
 7.99921 	 0.0240554 	
 6.99929 	 0.0212631 	
 6.00577 	 0.0184671 	
 5.00469 	 0.0156287 	
 4.00038 	 0.0127556 	
 3.00049 	 0.00982814 	
 2.00825 	 0.00689572 	
 1.00244 	 0.00392065 	
-0.00520946 	 0.000875768 	
-1.00005 	-0.00222791 	
-2.00176 	-0.00521118 	
-3.00742 	-0.00821765 	
-4.00669 	-0.011112 	
-5.00305 	-0.0139664 	
-6.00236 	-0.0168208 	
-7.0033 	-0.019643 	
-8.00766 	-0.0224374 	
-9.0038 	-0.0251408 	
-9.99293 	-0.0278312 	
-11.0021 	-0.0304932 	
-11.9998 	-0.0331561 	
-13.0003 	-0.0357287 	
-14.0063 	-0.0383265 	
-14.998 	-0.0409124 	
-16.0056 	-0.0434487 	
-17.0085 	-0.0459973 	
-18.0003 	-0.0485053 	
-19.0026 	-0.0509834 	
-20.0064 	-0.0534465 	

	
	
