Start Time:  17-05-2024 13:52:55          Time Completed:  17-05-2024 14:09:15      Elapsed Time:  00:16:19
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\R_105.txt
Plot File:     C:\IDEASVSM\LS_QC\R_105.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\R_105.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.912781 	
 18000 	 0.911951 	
 17000 	 0.910763 	
 16000 	 0.909178 	
 15000 	 0.90716 	
 14000 	 0.904879 	
 13000 	 0.902348 	
 12000 	 0.899503 	
 11000 	 0.896263 	
 10000 	 0.892498 	
 9000.09 	 0.888123 	
 7999.96 	 0.882767 	
 6999.94 	 0.876366 	
 5999.96 	 0.868546 	
 4999.92 	 0.8586 	
 3999.96 	 0.842356 	
 3000.17 	 0.817522 	
 1999.99 	 0.77296 	
 999.993 	 0.66375 	
 949.991 	 0.654106 	
 899.996 	 0.643748 	
 849.992 	 0.632593 	
 799.994 	 0.620553 	
 749.997 	 0.60753 	
 699.994 	 0.59324 	
 649.995 	 0.577654 	
 600.001 	 0.560566 	
 549.997 	 0.541792 	
 499.997 	 0.521151 	
 450 	 0.498194 	
 399.998 	 0.472371 	
 349.994 	 0.442889 	
 299.998 	 0.409688 	
 249.996 	 0.371459 	
 199.994 	 0.326673 	
 179.999 	 0.306459 	
 160.003 	 0.284669 	
 139.999 	 0.261073 	
 119.992 	 0.235367 	
 99.9922 	 0.20719 	
 79.9909 	 0.176022 	
 59.9955 	 0.14122 	
 39.9966 	 0.101713 	
 19.9977 	 0.0559592 	
 18.9969 	 0.053477 	
 18.0004 	 0.0509774 	
 17.002 	 0.0484273 	
 16.0041 	 0.0458687 	
 14.994 	 0.0432867 	
 14.0038 	 0.0406595 	
 13.0051 	 0.0380136 	
 12.0014 	 0.0353154 	
 11.0077 	 0.032638 	
 9.99761 	 0.0299237 	
 8.99893 	 0.0271687 	
 8.00117 	 0.0243478 	
 7.00806 	 0.0215747 	
 5.99301 	 0.0187127 	
 4.99224 	 0.0158583 	
 3.9976 	 0.0129398 	
 2.99938 	 0.0099689 	
 1.99297 	 0.00697685 	
 0.997115 	 0.0039239 	
-0.00455923 	 0.000823782 	
-1.00419 	-0.00230073 	
-1.99989 	-0.0053956 	
-3.00397 	-0.00838457 	
-3.99759 	-0.0112797 	
-5.00555 	-0.01427 	
-6.00111 	-0.0171074 	
-6.99738 	-0.0199141 	
-8.0081 	-0.0227514 	
-9.00152 	-0.0254795 	
-10.0002 	-0.0282157 	
-11.0045 	-0.0309205 	
-12.0025 	-0.033675 	
-13.0026 	-0.036318 	
-13.9971 	-0.0389275 	
-15.0078 	-0.0415268 	
-16.0038 	-0.0441197 	
-17.0038 	-0.0466972 	
-17.9965 	-0.0491906 	
-18.9975 	-0.051696 	
-20.0039 	-0.0542338 	

	
	
