Start Time:  07-05-2024 16:56:55          Time Completed:  07-05-2024 17:14:12      Elapsed Time:  00:17:16
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_180.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_180.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_180.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.822016 	
 18000 	 0.821831 	
 17000 	 0.821919 	
 15999.2 	 0.820476 	
 15000.8 	 0.816635 	
 13999.8 	 0.81562 	
 13000 	 0.812642 	
 12000 	 0.811678 	
 11000 	 0.807023 	
 10000.1 	 0.804436 	
 9000.02 	 0.800935 	
 7999.98 	 0.794844 	
 6999.99 	 0.788307 	
 5999.99 	 0.782351 	
 4999.96 	 0.772578 	
 3999.99 	 0.757582 	
 2999.98 	 0.734211 	
 1999.99 	 0.692217 	
 999.995 	 0.596051 	
 950.001 	 0.58753 	
 899.999 	 0.578438 	
 850 	 0.568527 	
 799.985 	 0.558445 	
 750 	 0.546827 	
 699.985 	 0.53379 	
 649.99 	 0.521069 	
 599.997 	 0.505769 	
 550.005 	 0.489476 	
 500.004 	 0.471237 	
 450.001 	 0.451129 	
 400.01 	 0.428613 	
 350.001 	 0.402553 	
 299.996 	 0.373482 	
 249.998 	 0.33915 	
 199.999 	 0.299644 	
 179.997 	 0.281381 	
 159.994 	 0.261735 	
 139.992 	 0.240726 	
 119.994 	 0.217124 	
 99.9987 	 0.19168 	
 80.0015 	 0.163088 	
 60.0009 	 0.131668 	
 40.0028 	 0.0954759 	
 19.9986 	 0.0532379 	
 18.9969 	 0.050972 	
 18.0023 	 0.0486545 	
 17.0008 	 0.0461727 	
 15.9983 	 0.0438147 	
 14.9958 	 0.0414115 	
 13.9955 	 0.0389823 	
 12.9931 	 0.0365008 	
 11.9942 	 0.03403 	
 11.0013 	 0.0315042 	
 10.0015 	 0.0289532 	
 8.991 	 0.0263882 	
 8.00167 	 0.0237948 	
 7.00335 	 0.0211457 	
 5.99822 	 0.0184051 	
 4.99685 	 0.0156614 	
 3.99634 	 0.0128556 	
 2.99959 	 0.0100315 	
 1.9991 	 0.00708757 	
 0.997522 	 0.00407499 	
-0.00327506 	 0.000884527 	
-1.00171 	-0.00230227 	
-1.9984 	-0.00529312 	
-2.99791 	-0.00823157 	
-4.00024 	-0.0110986 	
-5.00438 	-0.0139717 	
-5.99329 	-0.0167646 	
-7.00069 	-0.019443 	
-7.99622 	-0.0220829 	
-8.99317 	-0.024697 	
-9.99859 	-0.0272246 	
-11.0031 	-0.0298409 	
-12.0094 	-0.0323315 	
-13.0003 	-0.034788 	
-14.0011 	-0.0372382 	
-14.9976 	-0.0397085 	
-15.995 	-0.0420875 	
-16.9928 	-0.0444916 	
-17.9951 	-0.046823 	
-19.0027 	-0.0491309 	
-20.0085 	-0.0514336 	

	
	
