Start Time:  07-05-2024 11:20:52          Time Completed:  07-05-2024 11:38:36      Elapsed Time:  00:17:43
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_0b.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_0b.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_0b.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.833174 	
 18000 	 0.832027 	
 17000 	 0.83145 	
 16000 	 0.830255 	
 15000 	 0.827864 	
 14000 	 0.826729 	
 13000 	 0.823727 	
 12000 	 0.82121 	
 11000 	 0.817856 	
 10000 	 0.814414 	
 8999.99 	 0.810918 	
 8000 	 0.805553 	
 7000 	 0.799468 	
 5999.97 	 0.792021 	
 5000 	 0.782563 	
 4000 	 0.767134 	
 3000.42 	 0.743613 	
 2000 	 0.702438 	
 999.99 	 0.603515 	
 949.999 	 0.595232 	
 900 	 0.586077 	
 849.998 	 0.575881 	
 800.007 	 0.56546 	
 749.99 	 0.55375 	
 699.987 	 0.541149 	
 649.995 	 0.527299 	
 599.994 	 0.512158 	
 550.003 	 0.495474 	
 499.991 	 0.47729 	
 449.998 	 0.456905 	
 400 	 0.433975 	
 349.998 	 0.407693 	
 299.994 	 0.378088 	
 249.994 	 0.343714 	
 199.994 	 0.303162 	
 179.994 	 0.284812 	
 160 	 0.264952 	
 139.994 	 0.243537 	
 119.996 	 0.219937 	
 99.9949 	 0.194062 	
 80.0048 	 0.165328 	
 59.9998 	 0.13319 	
 39.9988 	 0.0965133 	
 20.0014 	 0.0538641 	
 18.9966 	 0.0515131 	
 17.9977 	 0.0491639 	
 17.0027 	 0.0467727 	
 15.9944 	 0.04433 	
 14.9851 	 0.0418668 	
 14.0103 	 0.0394165 	
 13.0026 	 0.0369324 	
 12.0004 	 0.0343674 	
 10.9954 	 0.0318489 	
 9.99757 	 0.0291903 	
 8.99578 	 0.0265677 	
 8.00396 	 0.0239193 	
 7.00336 	 0.0212123 	
 5.99968 	 0.018461 	
 5.00434 	 0.0157248 	
 4.00234 	 0.0128263 	
 2.99479 	 0.0099203 	
 1.99585 	 0.00697958 	
 1.00951 	 0.00393018 	
 0.0046558 	 0.00071965 	
-1.00045 	-0.00248259 	
-2.00081 	-0.00560988 	
-2.99932 	-0.00857658 	
-3.99971 	-0.0114441 	
-4.99835 	-0.014249 	
-5.9994 	-0.0170165 	
-7.00608 	-0.0197411 	
-8.00144 	-0.0224588 	
-9.00452 	-0.0250563 	
-10.0009 	-0.0276556 	
-10.9999 	-0.0302318 	
-11.9992 	-0.0327288 	
-13.0051 	-0.0352398 	
-14.0059 	-0.0377614 	
-14.9964 	-0.0401953 	
-15.9993 	-0.0426047 	
-16.9996 	-0.045021 	
-18.009 	-0.0473812 	
-19.003 	-0.0497505 	
-19.9981 	-0.0520875 	

	
	
