Start Time:  07-05-2024 15:27:44          Time Completed:  07-05-2024 15:47:22      Elapsed Time:  00:19:37
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_120a.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_120a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_120a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.840984 	
 18000 	 0.841028 	
 17000 	 0.839038 	
 16000 	 0.838271 	
 15000 	 0.836044 	
 14000 	 0.83483 	
 13000 	 0.831498 	
 12000 	 0.829249 	
 11000 	 0.826158 	
 9999.99 	 0.822934 	
 8999.99 	 0.8192 	
 7999.99 	 0.813452 	
 7000.01 	 0.808033 	
 6000.05 	 0.801256 	
 5000.1 	 0.792452 	
 4000.01 	 0.776918 	
 2999.7 	 0.756448 	
 1999.9 	 0.71924 	
 999.963 	 0.629762 	
 949.844 	 0.621964 	
 899.905 	 0.612396 	
 849.968 	 0.606495 	
 800.022 	 0.596436 	
 749.954 	 0.585929 	
 699.962 	 0.573494 	
 649.98 	 0.560502 	
 599.992 	 0.549371 	
 550.001 	 0.534323 	
 499.998 	 0.518271 	
 450.007 	 0.499026 	
 399.999 	 0.478861 	
 350.003 	 0.455201 	
 299.994 	 0.429548 	
 250.001 	 0.395488 	
 199.995 	 0.357123 	
 179.995 	 0.339317 	
 159.999 	 0.322225 	
 140.007 	 0.296601 	
 119.992 	 0.273575 	
 99.9924 	 0.248327 	
 80.0004 	 0.219444 	
 60.0053 	 0.180452 	
 39.9912 	 0.139289 	
 19.997 	 0.0833199 	
 18.9963 	 0.0795744 	
 17.9997 	 0.0774091 	
 16.9981 	 0.0731491 	
 15.9993 	 0.0707258 	
 15.003 	 0.0670012 	
 13.9984 	 0.0634901 	
 12.9979 	 0.0599236 	
 12.0012 	 0.0559707 	
 11.0027 	 0.0526119 	
 9.99675 	 0.0489783 	
 9.00042 	 0.0450367 	
 8.00067 	 0.0409586 	
 7.00244 	 0.0365868 	
 6.00255 	 0.0324748 	
 4.9994 	 0.0281786 	
 3.99848 	 0.0235861 	
 3.00693 	 0.0188763 	
 1.99424 	 0.0135842 	
 0.994742 	 0.00851322 	
 0.00791165 	 0.00238768 	
-0.994071 	-0.00415949 	
-2.00084 	-0.0099338 	
-3.00126 	-0.0153501 	
-3.99887 	-0.0201344 	
-4.99804 	-0.0246751 	
-5.99764 	-0.0291059 	
-6.99274 	-0.0335821 	
-8.00355 	-0.0376568 	
-8.99399 	-0.0421258 	
-10.0027 	-0.0457104 	
-11.004 	-0.0495555 	
-12.0064 	-0.0533129 	
-13.0006 	-0.0561707 	
-13.9939 	-0.059825 	
-14.9979 	-0.0640596 	
-15.9988 	-0.0675053 	
-17.0015 	-0.0702989 	
-17.9963 	-0.0743975 	
-19.0129 	-0.0774014 	
-20.0013 	-0.0804876 	

	
	
