Start Time:  07-05-2024 13:00:43          Time Completed:  07-05-2024 13:19:36      Elapsed Time:  00:18:52
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_45.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_45.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_45.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.837738 	
 18000 	 0.83826 	
 17000 	 0.836326 	
 16000 	 0.835136 	
 15000 	 0.832055 	
 14000 	 0.831687 	
 13000 	 0.828884 	
 12000 	 0.825845 	
 11000 	 0.822703 	
 10000 	 0.819584 	
 9000 	 0.815682 	
 7999.98 	 0.810663 	
 7000 	 0.805164 	
 5999.99 	 0.797102 	
 4999.99 	 0.788534 	
 3999.99 	 0.773501 	
 2999.91 	 0.751804 	
 1999.99 	 0.713504 	
 1000 	 0.626637 	
 949.996 	 0.619397 	
 899.99 	 0.611214 	
 850 	 0.602304 	
 799.997 	 0.592856 	
 749.996 	 0.58258 	
 701.663 	 0.571277 	
 650.002 	 0.558938 	
 599.998 	 0.545612 	
 550.014 	 0.531026 	
 499.993 	 0.514612 	
 450.002 	 0.49662 	
 400.004 	 0.475813 	
 350 	 0.45181 	
 299.991 	 0.425439 	
 250.002 	 0.392613 	
 199.996 	 0.353989 	
 180.005 	 0.336248 	
 160.001 	 0.317734 	
 139.999 	 0.295688 	
 120.002 	 0.272175 	
 100.001 	 0.245584 	
 80.0013 	 0.214655 	
 60.0061 	 0.179006 	
 39.9957 	 0.136126 	
 19.9968 	 0.081851 	
 18.9967 	 0.0787093 	
 18.007 	 0.0755297 	
 16.999 	 0.0722313 	
 15.9948 	 0.0689552 	
 15.0032 	 0.0655529 	
 14.0043 	 0.0620472 	
 12.9897 	 0.0585457 	
 12.0057 	 0.0549483 	
 10.9981 	 0.0511947 	
 9.99828 	 0.0474931 	
 8.99439 	 0.0436031 	
 7.98555 	 0.0397474 	
 7.00247 	 0.0356095 	
 6.00841 	 0.0314274 	
 4.99958 	 0.0270813 	
 3.99957 	 0.0225806 	
 3.00041 	 0.0178482 	
 2.00093 	 0.012933 	
 0.997461 	 0.00756673 	
 0.00286402 	 0.00156917 	
-1.00246 	-0.00468383 	
-1.99855 	-0.0102306 	
-3.00296 	-0.0152651 	
-3.99639 	-0.0201019 	
-5.00121 	-0.0246638 	
-6.00629 	-0.029032 	
-7.00139 	-0.0333122 	
-7.99445 	-0.0373327 	
-8.99256 	-0.0412972 	
-10.0002 	-0.0451645 	
-10.9958 	-0.0490173 	
-12.0085 	-0.0526593 	
-13.0082 	-0.0562634 	
-14.0015 	-0.0600618 	
-15.001 	-0.063212 	
-16.0084 	-0.0666295 	
-17.0007 	-0.0698867 	
-18.0073 	-0.0731966 	
-18.9954 	-0.0763257 	
-20.0015 	-0.0795026 	

	
	
