Start Time:  08-05-2024 13:00:38          Time Completed:  08-05-2024 13:18:43      Elapsed Time:  00:18:05
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_285.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_285.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_285.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.84488 	
 17999.7 	 0.844867 	
 17000 	 0.843427 	
 16000 	 0.841375 	
 15000 	 0.840078 	
 14000 	 0.839061 	
 13000 	 0.835641 	
 12000 	 0.833131 	
 11000 	 0.830038 	
 10000 	 0.826734 	
 8999.99 	 0.823266 	
 7999.98 	 0.817851 	
 7000 	 0.812117 	
 6000 	 0.805211 	
 5000.01 	 0.796308 	
 3999.95 	 0.78223 	
 3000.02 	 0.760218 	
 1999.98 	 0.723434 	
 1000.01 	 0.638933 	
 949.991 	 0.63179 	
 899.997 	 0.623783 	
 849.99 	 0.615463 	
 800.012 	 0.606377 	
 749.991 	 0.596707 	
 700.021 	 0.585905 	
 649.969 	 0.574027 	
 599.991 	 0.561343 	
 549.983 	 0.546993 	
 499.994 	 0.530946 	
 449.973 	 0.513576 	
 400.012 	 0.493465 	
 350.019 	 0.469972 	
 299.995 	 0.443462 	
 250.006 	 0.412272 	
 200.001 	 0.374431 	
 179.995 	 0.35692 	
 160.001 	 0.337678 	
 139.991 	 0.316266 	
 119.992 	 0.292383 	
 99.9917 	 0.265227 	
 79.9921 	 0.234011 	
 59.9942 	 0.197054 	
 39.9878 	 0.151986 	
 20.0046 	 0.0937775 	
 18.9986 	 0.0902833 	
 17.9805 	 0.0867277 	
 17.0037 	 0.0831038 	
 16.0008 	 0.0794615 	
 14.9972 	 0.0756227 	
 14.0053 	 0.0718311 	
 13.0022 	 0.0679216 	
 11.9974 	 0.0639742 	
 11.0054 	 0.0598865 	
 10.0009 	 0.055697 	
 8.99997 	 0.0512608 	
 8.00191 	 0.0468335 	
 6.9949 	 0.0422113 	
 5.9999 	 0.0374313 	
 4.99444 	 0.0324308 	
 4.00635 	 0.0272183 	
 2.99856 	 0.0218399 	
 1.99993 	 0.0160665 	
 0.992763 	 0.00971423 	
-0.00169648 	 0.00262625 	
-0.997039 	-0.00504762 	
-1.99503 	-0.0117608 	
-2.99375 	-0.017992 	
-4.00309 	-0.0236627 	
-5.00221 	-0.0289246 	
-6.00716 	-0.0340905 	
-6.9995 	-0.0389089 	
-7.99967 	-0.043579 	
-9.00086 	-0.0481128 	
-10.0016 	-0.0525403 	
-11.0004 	-0.056624 	
-12.0047 	-0.0607995 	
-12.9962 	-0.0648364 	
-14.0013 	-0.0688498 	
-15.003 	-0.0726677 	
-16.0081 	-0.0764826 	
-16.9941 	-0.0800897 	
-18.001 	-0.0837166 	
-19.0036 	-0.087285 	
-19.9986 	-0.0907045 	

	
	
