Start Time:  07-05-2024 15:54:38          Time Completed:  07-05-2024 16:12:24      Elapsed Time:  00:17:45
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_135.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_135.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_135.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.838106 	
 18000 	 0.837758 	
 17000 	 0.836497 	
 16000 	 0.834416 	
 15000 	 0.833013 	
 14000 	 0.831909 	
 13000 	 0.828777 	
 12000 	 0.826694 	
 11000 	 0.823066 	
 10000 	 0.819569 	
 8999.98 	 0.815948 	
 8000 	 0.810955 	
 6999.76 	 0.805257 	
 5999.94 	 0.797897 	
 5000.13 	 0.787873 	
 3999.57 	 0.773582 	
 3000.15 	 0.75077 	
 2000.11 	 0.711531 	
 1000.02 	 0.619383 	
 949.826 	 0.611545 	
 900.112 	 0.603256 	
 850.034 	 0.593987 	
 800.131 	 0.584018 	
 749.967 	 0.573192 	
 700.138 	 0.561705 	
 650.047 	 0.548894 	
 600.1 	 0.534659 	
 550 	 0.519029 	
 500.021 	 0.502267 	
 449.986 	 0.483351 	
 399.991 	 0.461485 	
 350.022 	 0.436338 	
 299.998 	 0.408362 	
 250.007 	 0.37561 	
 199.989 	 0.336127 	
 179.995 	 0.31817 	
 159.996 	 0.298454 	
 140.002 	 0.276961 	
 119.998 	 0.253197 	
 99.9959 	 0.226541 	
 80.0019 	 0.196278 	
 59.9949 	 0.162165 	
 39.9962 	 0.121522 	
 20.0048 	 0.0715432 	
 18.9964 	 0.0686519 	
 17.9929 	 0.065822 	
 17.0003 	 0.0627965 	
 16.0015 	 0.0598187 	
 14.9956 	 0.0567576 	
 14.0026 	 0.0537691 	
 12.9959 	 0.0506147 	
 11.9972 	 0.0470079 	
 11.0045 	 0.0444851 	
 10.005 	 0.0408873 	
 8.99475 	 0.0376992 	
 8.00429 	 0.0340921 	
 6.99267 	 0.0304968 	
 5.99693 	 0.026851 	
 5.00189 	 0.0231456 	
 3.99686 	 0.0193283 	
 2.99354 	 0.0152553 	
 1.99951 	 0.0112275 	
 0.993748 	 0.00683289 	
-0.00046674 	 0.00206801 	
-1.00152 	-0.00310788 	
-1.99533 	-0.00787366 	
-3.00445 	-0.0121346 	
-3.99611 	-0.0163042 	
-4.99883 	-0.0202084 	
-5.99598 	-0.0239906 	
-7.00544 	-0.0276588 	
-7.99591 	-0.0313083 	
-8.99957 	-0.0347258 	
-9.99708 	-0.0381345 	
-11.002 	-0.0413984 	
-12.0067 	-0.0446349 	
-12.9925 	-0.0478639 	
-14.0022 	-0.0510732 	
-15.0083 	-0.0540962 	
-15.9951 	-0.0571022 	
-17.0021 	-0.0600749 	
-17.9968 	-0.0630893 	
-19.0094 	-0.065915 	
-19.9913 	-0.0687123 	

	
	
