Start Time:  07-05-2024 14:38:00          Time Completed:  07-05-2024 14:55:48      Elapsed Time:  00:17:47
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_105.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_105.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_105.dat

***DATA***

Field(G)	 Moment(emu)	
 19001.3 	 0.847257 	
 18000.5 	 0.847242 	
 16999.8 	 0.859064 	
 15999.7 	 0.834097 	
 15000 	 0.84647 	
 14000 	 0.84155 	
 13000 	 0.840594 	
 12000 	 0.837169 	
 11000 	 0.833985 	
 10000 	 0.827498 	
 9000 	 0.827075 	
 8000 	 0.821854 	
 6999.98 	 0.814269 	
 6000.02 	 0.809643 	
 4999.97 	 0.800665 	
 4000.01 	 0.787466 	
 3000.03 	 0.75255 	
 2000 	 0.730475 	
 999.997 	 0.64748 	
 949.994 	 0.635249 	
 899.998 	 0.626975 	
 849.996 	 0.619311 	
 800 	 0.614758 	
 749.996 	 0.599803 	
 700.002 	 0.592166 	
 649.995 	 0.574386 	
 600.002 	 0.567589 	
 550.003 	 0.551971 	
 499.991 	 0.535649 	
 450.001 	 0.517098 	
 399.997 	 0.496884 	
 349.992 	 0.47301 	
 299.994 	 0.44389 	
 249.994 	 0.416068 	
 200.001 	 0.377123 	
 179.998 	 0.358356 	
 160.006 	 0.340175 	
 140.669 	 0.319057 	
 119.999 	 0.293579 	
 99.998 	 0.265821 	
 79.9946 	 0.236357 	
 60.0048 	 0.198632 	
 40.008 	 0.152816 	
 19.9955 	 0.0944003 	
 18.9974 	 0.0910437 	
 17.9999 	 0.0873764 	
 17.001 	 0.0837939 	
 16.0018 	 0.0799666 	
 14.9999 	 0.0762486 	
 13.9921 	 0.0721586 	
 12.9919 	 0.0685009 	
 11.9925 	 0.0645164 	
 11.0021 	 0.0604559 	
 9.99352 	 0.0562143 	
 9.00385 	 0.0517903 	
 7.99774 	 0.0473182 	
 7.00326 	 0.0426733 	
 5.99306 	 0.0379427 	
 5.00595 	 0.0327542 	
 4.00062 	 0.0277317 	
 3.00283 	 0.0222319 	
 1.99829 	 0.0163476 	
 1.00004 	 0.0100551 	
-0.00572332 	 0.00297995 	
-1.00068 	-0.00494379 	
-1.99457 	-0.0117198 	
-3.00137 	-0.0179473 	
-3.99998 	-0.0235102 	
-5.00909 	-0.0288692 	
-5.99602 	-0.0340217 	
-6.99341 	-0.0389117 	
-8.00641 	-0.0437618 	
-9.00458 	-0.0482352 	
-9.99756 	-0.0528184 	
-10.9938 	-0.0569685 	
-12.0059 	-0.0611601 	
-12.9913 	-0.065337 	
-14.003 	-0.0692304 	
-15.0046 	-0.0730953 	
-16.0057 	-0.0769336 	
-17.0056 	-0.0808789 	
-17.999 	-0.0843076 	
-19.0049 	-0.0878144 	
-20.003 	-0.0912865 	

	
	
