Start Time:  07-05-2024 11:49:40          Time Completed:  07-05-2024 12:08:22      Elapsed Time:  00:18:41
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_15.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_15.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_15.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.832879 	
 18000 	 0.832653 	
 17000 	 0.831349 	
 16000 	 0.829963 	
 15000 	 0.827762 	
 14000 	 0.826617 	
 13000 	 0.823514 	
 12000 	 0.820939 	
 11000 	 0.817719 	
 10000 	 0.814459 	
 9000 	 0.810809 	
 8000.05 	 0.805482 	
 6999.94 	 0.799352 	
 5999.91 	 0.792131 	
 4999.94 	 0.782424 	
 4000.06 	 0.767295 	
 3000.12 	 0.744362 	
 1999.92 	 0.703632 	
 999.916 	 0.607894 	
 949.959 	 0.599633 	
 900.195 	 0.590425 	
 850.016 	 0.581011 	
 800.162 	 0.570649 	
 750.049 	 0.559495 	
 699.959 	 0.547205 	
 649.97 	 0.533833 	
 600.071 	 0.519253 	
 550.123 	 0.503333 	
 500.032 	 0.485452 	
 450.001 	 0.465604 	
 399.991 	 0.4435 	
 350 	 0.41775 	
 299.994 	 0.388735 	
 249.992 	 0.354988 	
 199.997 	 0.315106 	
 179.992 	 0.296915 	
 160 	 0.277226 	
 140.001 	 0.255768 	
 120.001 	 0.232086 	
 99.9994 	 0.205934 	
 80.6629 	 0.177689 	
 59.9952 	 0.143643 	
 39.9889 	 0.105419 	
 20.0031 	 0.0599647 	
 19.0044 	 0.0575138 	
 18.0045 	 0.0549477 	
 16.9985 	 0.0523146 	
 15.9978 	 0.0496618 	
 15.0028 	 0.0470234 	
 13.9941 	 0.0443099 	
 13.0033 	 0.0415862 	
 11.9955 	 0.0388384 	
 10.9977 	 0.0359921 	
 9.99567 	 0.0331746 	
 8.99413 	 0.0302489 	
 7.99096 	 0.0273246 	
 7.00273 	 0.024344 	
 5.99582 	 0.0212279 	
 4.99723 	 0.0181241 	
 3.99547 	 0.0148691 	
 2.9961 	 0.0115859 	
 2.00302 	 0.00819865 	
 0.996282 	 0.00460908 	
-0.00253575 	 0.000926174 	
-1.00183 	-0.00295946 	
-2.0042 	-0.0064925 	
-3.00052 	-0.00991832 	
-3.99879 	-0.0133232 	
-5.00507 	-0.0164982 	
-6.00481 	-0.0195725 	
-7.00852 	-0.0226887 	
-8.00883 	-0.0257311 	
-8.99316 	-0.0286737 	
-10.0006 	-0.0316013 	
-10.9984 	-0.0344429 	
-11.9976 	-0.0371863 	
-12.9968 	-0.0399611 	
-14.0075 	-0.0427128 	
-15.0044 	-0.0453713 	
-15.9931 	-0.04803 	
-16.9975 	-0.0506071 	
-18.0035 	-0.0531734 	
-19.0021 	-0.0557568 	
-19.9992 	-0.0582447 	

	
	
