Start Time:  08-05-2024 12:40:56          Time Completed:  08-05-2024 12:58:01      Elapsed Time:  00:17:04
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_270.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_270.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_270.dat

***DATA***

Field(G)	 Moment(emu)	
 19000.5 	 0.843018 	
 18000 	 0.843039 	
 17000 	 0.841756 	
 16000 	 0.840337 	
 15000 	 0.838275 	
 14000 	 0.837085 	
 13000 	 0.834151 	
 12000 	 0.831588 	
 11000 	 0.828627 	
 9999.99 	 0.82538 	
 9000 	 0.821577 	
 8000 	 0.816551 	
 6999.99 	 0.810885 	
 5999.99 	 0.804937 	
 5000.01 	 0.795324 	
 3999.99 	 0.781154 	
 3000.16 	 0.759784 	
 1999.99 	 0.723592 	
 999.989 	 0.641107 	
 949.995 	 0.633878 	
 900.002 	 0.62643 	
 849.997 	 0.618212 	
 799.991 	 0.609389 	
 749.99 	 0.599773 	
 699.998 	 0.589806 	
 650.008 	 0.577905 	
 599.995 	 0.56503 	
 550.003 	 0.551197 	
 500.005 	 0.535649 	
 450.002 	 0.518293 	
 400.014 	 0.498629 	
 350.02 	 0.475737 	
 299.997 	 0.449475 	
 250.002 	 0.418697 	
 199.99 	 0.381264 	
 180.001 	 0.363916 	
 159.984 	 0.344767 	
 139.987 	 0.323488 	
 120.003 	 0.299626 	
 99.9946 	 0.2725 	
 79.996 	 0.240956 	
 59.9941 	 0.20394 	
 39.9975 	 0.157976 	
 19.9927 	 0.0980849 	
 19.0034 	 0.094525 	
 17.9912 	 0.0908766 	
 17.0029 	 0.0871156 	
 16.0044 	 0.0833856 	
 15.0028 	 0.0795518 	
 14.0072 	 0.0755482 	
 12.9949 	 0.0715401 	
 11.995 	 0.0672994 	
 11.0072 	 0.0630379 	
 10.0002 	 0.0586138 	
 8.99743 	 0.0541753 	
 7.99015 	 0.0495538 	
 7.00208 	 0.0446853 	
 6.01409 	 0.0395994 	
 4.99545 	 0.0343779 	
 4 	 0.0289321 	
 3.00578 	 0.0232487 	
 1.99251 	 0.01707 	
 0.99382 	 0.0104465 	
-0.00676401 	 0.00295442 	
-1.00833 	-0.0055373 	
-1.99257 	-0.0128217 	
-2.96986 	-0.0189624 	
-4.00111 	-0.0251064 	
-4.99699 	-0.0305399 	
-5.98648 	-0.0358997 	
-6.99672 	-0.0409331 	
-7.99994 	-0.0458627 	
-8.9994 	-0.050696 	
-9.99502 	-0.0553234 	
-10.9883 	-0.0597662 	
-11.997 	-0.0640321 	
-13.0062 	-0.0682588 	
-13.9996 	-0.0723746 	
-15.0097 	-0.0763466 	
-16.0042 	-0.0802587 	
-17.009 	-0.0840457 	
-17.9976 	-0.0877264 	
-18.9972 	-0.0914049 	
-20.0086 	-0.0949537 	

	
	
