Start Time:  07-05-2024 12:35:33          Time Completed:  07-05-2024 12:54:01      Elapsed Time:  00:18:27
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.exp
Data File:     C:\IDEASVSM\LS_QC\80_P1_30a.txt
Plot File:     C:\IDEASVSM\LS_QC\80_P1_30a.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_Giuliano_Cuarto\MvsH_Giuliano_Cuarto.stp
VSM Data File: C:\IDEASVSM\LS_QC\80_P1_30a.dat

***DATA***

Field(G)	 Moment(emu)	
 19000 	 0.8333 	
 18000 	 0.832607 	
 17000 	 0.831872 	
 16000 	 0.830221 	
 15000 	 0.828063 	
 14000 	 0.827625 	
 13000 	 0.823983 	
 12000 	 0.8219 	
 11000 	 0.818306 	
 10000 	 0.815291 	
 8999.99 	 0.811119 	
 7999.99 	 0.80556 	
 6999.99 	 0.800449 	
 5999.98 	 0.793157 	
 5000 	 0.78348 	
 3999.98 	 0.768747 	
 3000.04 	 0.746002 	
 2000.01 	 0.706312 	
 999.995 	 0.614761 	
 949.995 	 0.606735 	
 899.998 	 0.59729 	
 850.013 	 0.588949 	
 800.003 	 0.579482 	
 750.003 	 0.568756 	
 699.991 	 0.556762 	
 649.995 	 0.5453 	
 600.005 	 0.53025 	
 550.008 	 0.51564 	
 500.003 	 0.497103 	
 450 	 0.479002 	
 400 	 0.457425 	
 349.99 	 0.433806 	
 300.005 	 0.404553 	
 249.996 	 0.371723 	
 199.995 	 0.332725 	
 180.003 	 0.314591 	
 159.991 	 0.295039 	
 140.004 	 0.273596 	
 119.993 	 0.250093 	
 99.9955 	 0.223581 	
 79.9986 	 0.193769 	
 59.9998 	 0.159432 	
 39.992 	 0.119041 	
 19.9963 	 0.0697046 	
 19.0032 	 0.0668897 	
 17.9954 	 0.0638988 	
 17.0063 	 0.0610219 	
 15.9906 	 0.0581159 	
 15.004 	 0.0551545 	
 14.0028 	 0.0520863 	
 13.0017 	 0.0490081 	
 11.9949 	 0.0458935 	
 11 	 0.0427099 	
 9.99709 	 0.0394634 	
 9.00628 	 0.036057 	
 7.99652 	 0.0327014 	
 7.00897 	 0.0291955 	
 6.00053 	 0.0256119 	
 4.9991 	 0.0219323 	
 4.00422 	 0.0181622 	
 2.99607 	 0.014283 	
 1.98659 	 0.0101465 	
 0.999173 	 0.00578324 	
-0.00107902 	 0.00109038 	
-1.00929 	-0.0037869 	
-1.99133 	-0.0082661 	
-3.00175 	-0.0124293 	
-4.00382 	-0.0164661 	
-5.00114 	-0.0202198 	
-6.01128 	-0.0239082 	
-6.99804 	-0.0275191 	
-8.00321 	-0.0310007 	
-8.99654 	-0.0343307 	
-9.99608 	-0.0376776 	
-11.0032 	-0.0410298 	
-11.9918 	-0.0440107 	
-13.0083 	-0.0472844 	
-14.0011 	-0.0503094 	
-14.9934 	-0.0533465 	
-16.0077 	-0.0563478 	
-17.0039 	-0.05926 	
-18.007 	-0.0621996 	
-19.0017 	-0.0649732 	
-20.0016 	-0.0678513 	

	
	
